Index,CommentID,CommentURL,CommenterID,Comment,CommentReactions,CommentReactionCount
58,186663367792990,https://facebook.com/186663367792990,186663367792990,Why make me so sad. You give me tiramisu cheesecake but no coffee flavor and it's dry... but why cheesecake factory?,,
59,845692506859651,https://facebook.com/845692506859651,845692506859651,Bring back fry bread taco .,,
60,847547153522745,https://facebook.com/847547153522745,847547153522745,"I used to love the cheesecake factory, but over the past several years,quality has dropped. I no long visit. I miss it, but not worth my money.",,
61,279640091625807,https://facebook.com/279640091625807,279640091625807,Fiction. It has NEVER been two pages. No way.,,
62,202223479418936,https://facebook.com/202223479418936,202223479418936,wasnt born lol,,
63,699598064922916,https://facebook.com/699598064922916,699598064922916,Too many choices now.,,
64,741661551126601,https://facebook.com/741661551126601,741661551126601,I'll admit to being overwhelmed the first time I looked at the menu. So many options made it hard to decide.,,
65,1025131188515240,https://facebook.com/1025131188515240,1025131188515240,"Please more low sodium non mushroom vegetarian options!
PPPLLLLEEEEEEAA
AAAAAASSSSSSSSE
EEEEEEEEE!!!",,
66,849720210015096,https://facebook.com/849720210015096,849720210015096,"I still have a menu from 1987 somewhere ; I live in Australia, wrote asking for one, and they sent me one (lived in L.A. in 86/87) !",,
67,333978255863733,https://facebook.com/333978255863733,333978255863733,I think it was 3 pages,,
68,644574081096273,https://facebook.com/644574081096273,644574081096273,"Change back to a smaller menu, I beg of you",,
69,1250825748932687,https://facebook.com/1250825748932687,1250825748932687,Still reading your menu lol 😉,,
70,3616108868636419,https://facebook.com/3616108868636419,3616108868636419,I think it's true,,
71,6598028020263999,https://facebook.com/6598028020263999,6598028020263999,"Went to Cheesecake Factory at Christiana Mall last Sunday - ordered the Cuban sandwich. Was very dissatisfied. Not a lot of meat on the sandwich, and whomever prepared the sandwich must have shifted it or dropped it onto the plate as they were going to cut it in half. When it was brought to my table, cut in half, all of the meat was on one half - the other half had nothing on it. I took half of the meat from the one side and put it on thy empty side... very messy and very small portions on the sandwich in a whole. Really bad for the price I paid.",,
72,1108316326802512,https://facebook.com/1108316326802512,1108316326802512,And that would be good enough!,,
73,288789097267385,https://facebook.com/288789097267385,288789097267385,"OMG!!! I'm so proud and happy to be out here today sharing the Good work of owegbe I just can't believe that now my ex Lover is really back to me on his knees presenting a Ruby rose to ask for my forgiveness to take him back and he was feeling regretful and sorry for leaving me and for causing me pains after the Divorce which occurred last Year..
👇🏽👇🏽👇🏽👇🏽👇🏽.

Dr. Owegbe love spell templee",,
74,1327590877847388,https://facebook.com/1327590877847388,1327590877847388,The menu now is way too massive. Needs to be smaller.,,
75,274917095432284,https://facebook.com/274917095432284,274917095432284,Regardless bring back the 1977 prices!🤣😅,,
76,1303377770323265,https://facebook.com/1303377770323265,1303377770323265,..... no it was bigger,,
77,1017536213374348,https://facebook.com/1017536213374348,1017536213374348,No idea. Never heard of The Cheesecake Factory in 1977.,,
78,2285945581589840,https://facebook.com/2285945581589840,2285945581589840,Now it is a book.,,
79,1984198845274276,https://facebook.com/1984198845274276,1984198845274276,Ever think of doing a limited Retro-Menu era for a few weeks?,,
