Index,Name,Description,Cuisine,Features,Price,AverageReviewScore,NumberOfReviews
15, MAX TASTE - Lahorian Grill,,Indian,"Outdoor seating, Delivery, Takeout",None,4.3 ,73 reviews
16, Kuji Asian Grill,"The food is delicious, the sushi comes around on the belt and a robot brings your drinks. It's a cool experience and perfect for sushi lovers",Korean,"Outdoor seating, Delivery, Takeout",None,4.7 ,382 reviews
17, The Burger Saloon,"I've gotta say - these guys do burgers right. The menu is a little daunting (lots of options). But, I haven't had a bad burger yet.

I also enjoy asking the…",Bars,"Outdoor seating, Delivery, Takeout",None,4.1 ,621 reviews
18, Osaka Sushi Japanese Restaurant,I'm amazed they were even open afrer losing electricity because of the big fire that day. It was a birthday dinner for my sister and very much enjoyed it. Upon…,Japanese,"Waitlist is closed, Outdoor seating, Delivery, Takeout",None,4.0 ,370 reviews
19, Doggeros,"We are always on the look out for a new spot to try out for lunch, also we don't head over to woodland very often so we decided to give it a shot.   One of the…",Burgers,"Outdoor seating, Delivery, Takeout",None,4.1 ,241 reviews
20, After Hours Boba & Tea,"Love stopping here for a late night burg with my husband. First time we came, we split an order of mozzarella sticks and a bacon cheese burger. Everything was…",Bubble Tea,"Delivery, Takeout",None,3.9 ,36 reviews
21, House of Shah Afghan Urban Eats,"Interesting Afghan American fusion spot in Woodland, CA of all places!

I typically get the loaded salad with a chicken kabab. Full of fresh mixed lettuce…",Afghan,"Outdoor seating, Delivery, Takeout",None,4.5 ,322 reviews
22, Corabella’s Restaurant,"Probably the best country fried chicken I've had to date, period.

The country potatoes were good but a bit salty.

Service was fast and the young man who…",Breakfast & Brunch,"Outdoor seating, Delivery, Takeout",None,4.6 ,119 reviews
23, Yaquis Cantina,Amazing street tacos ! Delicious margaritas and super fresh chips and salsa . Great customer service. The owner was very hospitable.,Mexican,,None,3.3 ,4 reviews
24, Thai Pepper,"Food Was Fantastic 
The Staff Super Friendly! 
The Atmosphere Is Super Cool And Súper Meló 
And Their Súper Clean Too ! 
Great service . Will Definitely Come…",Thai,"Outdoor seating, Delivery, Takeout",None,4.2 ,153 reviews
25,Oyster Bar,"Welcome to Oyster Bar where you can find great Seafood available for delivery or takeout. With many years of journey in the hospitality industry, Oyster Bar has made a mark for…",American (New),"Make an Online Reservation, Outdoor seating, Delivery, Takeout",None,4.1 ,237 reviews
26,Jack in the Box,,Ice Cream & Frozen Yogurt,"Delivery, Takeout",None,,
27,The Ravine on Sixteen,"We, The Ravine On Sixteen are happy to welcome all visitors. We have dedicated ourselves to making sure your experience is enjoyable and memorable. We are Yolo County's new ""Place to…",Burgers,"Outdoor seating, Delivery, Takeout",None,4.2 ,
28, Falafel Corner,I have eaten here twice since they opened. It's more of a grab and go typed spot rather than a sit down restaurant with a server. I got a gyro bowl and falafel…,Fast Food,,None,4.8 ,
29, Las Brasas Tacos & Salsas,"I had the tacos and they were amazing. It was my first time and the she talked us through the menu and recommended options based on what we liked. The chips,…",Tacos,"Outdoor seating, Delivery, Takeout",None,4.0 ,
30, O Teriyaki,"Service 10/10
Portions 10/10
Food 10/10

I am so happy that I found this little hole in the wall. It's a perfect little gem.",Hawaiian,Takeout,None,3.8 ,$
31, Morgan’s Mill,This place is cool and their food is very good. I will be coming back to try more items and enjoy the vibes. The people working here were very nice and got me…,Coffee & Tea,"Outdoor seating, Takeout",None,4.2 ,
32, The Meltdown,I ordered via DoorDash; food was pretty good! The sandwich had a lot of meat which I very much appreciated. The cheesecake toast dessert was a tiny bit dry and…,Food Delivery Services,Delivery,None,4.0 ,
33, El Pantano Marisqueria,"las piñas coladas muy buenas  recomendadas
tengan algo de paciencia que vale la pena toda la comida que ordene estaba muy buena",Seafood,"Outdoor seating, Delivery, Takeout",None,4.2 ,
34, Birrieria Mooooy,"The BEST tacos I have EVER HAD IN CALI !  We drive 20 min from home just for their delicious tacos!!! Always friendly service!! 

If you love some good carne…",Food Trucks,,None,4.8 ,
35, Zitio Sports-Bar and Grill,Stopped by Zitios for a late night meal and drinks. We ordered a burrito and tacos which were sooo good! Spice level was perfect and the flavors rich. Service…,Sports Bars,"Outdoor seating, Takeout",None,3.9 ,
36, Ranch Kitchen,"Delicious, friendly and cute !!! Thank you YELP and we will definitely be back next time we're in town",Breakfast & Brunch,"Outdoor seating, Delivery, Takeout",None,4.2 ,
37, Savory Cafe,"Been 3 times and every time I been haven't been amazed. First time I went was the best, chicken and waffles. Went and 2nd time and got French toast and bacon…",Breakfast & Brunch,"Outdoor seating, Takeout",None,3.4 ,$
38,Oyster Bar,"Welcome to Oyster Bar where you can find great Seafood available for delivery or takeout. With many years of journey in the hospitality industry, Oyster Bar has made a mark for…",Cajun/Creole,"Make an Online Reservation, Outdoor seating, Delivery, Takeout",None,4.1 ,atomas
