Index,Name,Description,Cuisine,Features,Price,AverageReviewScore,NumberOfReviews
0,The Ravine on Sixteen,"We, The Ravine On Sixteen are happy to welcome all visitors. We have dedicated ourselves to making sure your experience is enjoyable and memorable. We are Yolo County's new ""Place to…",Burgers,"Outdoor seating, Delivery, Takeout",None,4.2 ,46 reviews
1,Aladdin’s Grill,"Grand Opening May 26th! Aladdin's Grill is a delectable destination that offers an enticing array of gyros, shawarmas, and cheesesteaks, taking your taste buds on a tantalizing…",Fast Food,"Delivery, Takeout",None,4.5 ,87 reviews
2,Mojo’s Lounge & Kitchen428 Restaurant,In town for a few days and stumbled upon this spot right before last call.  We ordered vegan coconut curry and wow!  I want another bowl to take home.  It is…,American (New),"Live wait time: 0 mins, Outdoor seating, Delivery, Takeout",None,4.3 ,489 reviews
3,Morgan’s On Main,The mock-tails are delightful and so fun to go with my kid. The atmosphere is pretty lively and I appreciate the service.,American (New),"Outdoor seating, Takeout",None,4.0 ,329 reviews
4,He’s From Philly Cheesesteaks,"Went when it wasn't too busy. Ordered two traditional philly, a pizza philly, and philly fries. Probably what makes this place stand out is that they're…",Sandwiches,Opened 3 weeks ago,None,4.5 ,13 reviews
5,Main Street Lounge,I love this place! The food is always on point. Great service. For being a new place and new owners they are doing a great job. Would recommend for brunch with…,Pizza,"Outdoor seating, Delivery, Takeout",None,4.5 ,46 reviews
6,Blue Note Brewing Company,"Blue Note is a great local brewery which offers a wide range of beer styles which I can always find a favorite.

They have plenty of seating inside and outside…",Breweries,"Outdoor seating, Delivery, Takeout",None,4.3 ,123 reviews
7,Pete’s Restaurant & Brewhouse,"Visited this location on a weekday and it wasn't busy at all. The wait for service was very slow though although there were plenty of employees. 

Once we got…",Pizza,"Outdoor seating, Delivery, Takeout",None,3.8 ,362 reviews
8,Pupuseria La Chicana,"Incredible and wonderful and very good and delicious. To start the seating area is a little tent directly outside the interior, giving a homey, casual vibe.…",Mexican,"Outdoor seating, Takeout",None,4.3 ,492 reviews
9,The HIVE Tasting Room and Kitchen,"If you want to do an amazing honey tasting, drive to this place!! 
Great gift ideas!!!
Lunch and special events also offered! So much honey- oh, and mead but…",American (New),"Outdoor seating, Delivery, Takeout",None,4.6 ,34 reviews
10,Father Paddy’s,"This bar is great. The people who come here? Pretty awesome. Servers? Totally great. Food : We got GREAT bar food. 

This place reminds me of Philadelphia.…",Irish Pub,"Outdoor seating, Takeout",None,4.1 ,286 reviews
11, Sakura,"We just had amazing service and phenomenal sushi! Their sushi sashimi for 2 was a great deal! Beautiful presentation, plus you get to choose two sushi rolls of…",Sushi Bars,"Outdoor seating, Delivery, Takeout",None,3.9 ,199 reviews
12,Oyster Bar,"Welcome to Oyster Bar where you can find great Seafood available for delivery or takeout. With many years of journey in the hospitality industry, Oyster Bar has made a mark for…",Seafood,"Make an Online Reservation, Outdoor seating, Delivery, Takeout",None,4.1 ,237 reviews
13,Jack in the Box,"So this review is about a very unique situation and the excellent customer service we got at this location: My cousin had a wedding up in Winters, CA, and as her fiance is Belgian,…",Burgers,"Delivery, Takeout",None,,
14,The Ravine on Sixteen,"We, The Ravine On Sixteen are happy to welcome all visitors. We have dedicated ourselves to making sure your experience is enjoyable and memorable. We are Yolo County's new ""Place to…",Pizza,"Outdoor seating, Delivery, Takeout",None,4.2 ,46 reviews
