"postTitle","postDescription","text","likesCount","facebookUrl"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Bring back the stuffed cheddar burger 😡","1","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Bring back the different soup for every day of the week.","4","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Fact","1","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"I miss the salmon fire cracker rolls","10","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Bring back the tons of fun burger.","6","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Please bring back the Luau and Boston Bibb Salads.","2","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Bring back Grilled Artichokes!","3","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Idk. Bring back the chicken teriyaki, then we’ll talk.","0","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Probably fact","2","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Not anymore!","2","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
