ExplicitWord,Frequency
ass,2
hole,1
fucker,3
damn,2
fag,1
fagg,1
faggot,1
fuck,2
fuckin,1
fucking,1
god,1
goddamn,1
mother,1
motherfuck,1
motherfucker,1
shit,2
